内容,作者,发布时间,转发数,评论数,点赞数,页码
"　　【深化改革创新 拓展全面育人新格局】

　　■教育强国建设 高校党建何为·笔谈

　　习近平总书记强调，“思政课是落实立德树人根本任务的关键课程”“‘大思政课’我们要善用之”。在给中国传媒大学全体师生的回信中，习近平总书记明确要求，要落实立德树人根本任务，聚焦新闻舆论工作需要，突出 ​ 展开c",中国教育新闻网,2024年12月18日 10:50 ,0,0,0,21
"#中国传媒大学读书节#
“翻页日历”21天阅读打卡活动回顾📅

当书页翻开时，我的生命就开始了。撕下的日历，铺成时间的轨迹，通向初次涉足浮空热岛的时刻🛤️亲爱的旅行家们，让我们乘着时光的书页，回顾这21天的热岛之旅吧☀️

在这21天的打卡过程中，相信每一位旅行家都留下了美好的回忆💫希 ​ 展开c",广院学实交流会,2024年12月12日 23:15,4,4,0,21
#中国传媒大学#有没有师哥师姐出文史哲的书和试题资料 ​,阑尾炎要睡觉,2024年12月09日 15:06 ,0,0,0,21
"恭喜艺六狼孩任书漾
获中传绿通A级评定
直接get中传终试
@BOYSTORY_任书漾 未来可期！
#艺考##治愈系爱豆任书漾##中国传媒大学##表演# 2太原·艺六学堂 ​",艺六学堂,2024年12月06日 19:41 ,42,242,0,21
"#中国传媒大学读书节#
「岁月常景」——山林野趣生灵舞🌲

👋 嘿，各位“铲屎官”和“毛孩子”爱好者们看过来！
当你踏进这片奇妙的天地⛰️
🐰你会看到兔子在草丛中蹦蹦跳跳，软萌的样子分分钟让人“血槽清空”
🐱猫咪迈着优雅的猫步，时而慵懒地晒着太阳，时而又开启“好奇宝宝”模式探索着 ​ 展开c",广院学实交流会,2024年12月05日 23:52,8,19,0,22
"【我的照片故事】——286
～恰同学少年～
#北京广播学院##中国传媒大学##大学第一课##79级电视摄影班#

我没有说错吧，
北京广播学院留影，
我的学生们也要抱着摄影机，
潇洒地站在“考茨基”大门前…

这批小帅哥是79摄影班一部，
怎么“满园春色却娇娘”啊？
是啊“79摄影”咋整的没招女生，
齐刷刷 ​ 展开c",王纪言,2024年09月04日 18:20 ,6,20,0,22
"【我的照片故事】——283
～我在母校门口的纪念照～
#北京广播学院##中国传媒大学##大学第一课#

九月是开学季，
九月一日是开学日。
整整五十年前的那个秋天，
是我难忘的开学季和开学日。
我进入了北京广播学院上学。
当年同学们有个约定——
要手持课程教学发的照相机，
赶到西侧的校门口拍张纪念照 ​ 展开c",王纪言,2024年09月01日 13:34 ,8,50,0,22
【#中传毕业生用青春激情唱响平凡之路#】中国传媒大学毕业典礼现场，用青春激情唱响《平凡之路》，一起“跨过山和大海，穿过人山人海”！#中国传媒大学24届毕业典礼##中国传媒大学# L北京时间的微博视频 ​,北京时间,2024年06月29日 11:00 ,0,6,0,22
【#中传毕业生合唱晴天#】6月29日，中国传媒大学毕业典礼现场，全场学生温馨合唱《晴天》，“故事的最后你好像还是说了拜拜”！ #中国传媒大学24届毕业典礼##中国传媒大学# L北京时间的微博视频 ​,北京时间,2024年06月29日 10:59 ,0,3,0,22
"中国传媒大学超话
#中国传媒大学70周年校庆#🎊#中国传媒大学#
亲爱的小白杨们，今天是中国传媒大学70周年校庆日！校园里充满了温暖的阳光和愉悦的气息🎈让我们一起欢迎校友们回家，并为母校献上最诚挚的祝福，愿母校越来越好、再创辉煌🎂🎂🎉 ​",中国传媒大学微博协会,2024-09-27 09:22 转赞人数超过100,12,188,0,22
中国传媒大学超话#中国传媒大学##交响乐团##长号# 祝乐团15岁生日快乐！从2018年到2024年，从台上到台下，乐团承载了本科期间太多美好的回忆。看彩排的时候无数次热泪盈眶，不仅是音乐带来的感动，更是真心为乐团的发展感到高兴，很自豪自己曾经是中传青年爱乐的一份子，也很开心能够再次见到 ​ 展开c,董贝果,2023年12月21日 12:25 ,2,3,0,22
"#中国传媒大学读书节#
「文字的秘密」——寻找古文字的焰火，揭晓实虚词的神奇力量🪄

实词与虚词交织着，跃进鲜活的文墨，烧成最瞩目的一片焰，炼出古文言的髓。以实见意，以虚写诗，民族的魂魄在炙热中，走向永昼🌄

「文字的秘密」第三期，学小实带领小白杨们走进实虚词的神奇世界，理解《论语 ​ 展开c",广院学实交流会,2023年12月14日 13:28,2,3,0,22
